docker compose logs -t -f
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.529523055Z 2025-11-16 19:56:27,528 [INFO] AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffab4b68e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.529525763Z 2025-11-16 19:56:27,528 [INFO] Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffab4b68e0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.529527847Z 2025-11-16 19:56:27,529 [INFO] Created channel=1
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:27.538420138Z 2025-11-16 19:56:27,534 [WARNING] [WSMClient] Intento 1: Error comunicando con WSM ([Errno 111] Connection refused)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:29.549015667Z 2025-11-16 19:56:29,547 [WARNING] [WSMClient] Intento 2: Error comunicando con WSM ([Errno 111] Connection refused)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:31.552454084Z 2025-11-16 19:56:31,551 [WARNING] [WSMClient] Intento 3: Error comunicando con WSM ([Errno 111] Connection refused)
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:33.555797043Z 2025-11-16 19:56:33,554 [ERROR] [WSMClient] No se pudo comunicar con el WSM después de 3 intentos
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:33.555933127Z 2025-11-16 19:56:33,555 [INFO] [GrouperV2:q4:35daff25a0fb] Inicializado - input: transactions_cleaned_Q4, output: reducer_q4_signal
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:33.556255335Z 2025-11-16 19:56:33,556 [INFO] Starting GrouperV2...
distribuidos-coffee-shop-analysis-grouper_q4_v2-1                      | 2025-11-16T19:56:33.560647127Z 2025-11-16 19:56:33,560 [INFO] GrouperV2 started - input queue: transactions_cleaned_Q4, output queues: ['reducer_q4_signal']
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.651106222Z 2025-11-16 19:56:28 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffff851f27f0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
