docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:16.400940898Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2936
joiner_q1                          | 2025-10-01T02:58:16.400955397Z Wrote 45 rows to /app/output/q1_unsorted.csv. Total rows written: 4230
joiner_q1                          | 2025-10-01T02:58:16.591850805Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2879
joiner_q1                          | 2025-10-01T02:58:16.591865676Z Wrote 44 rows to /app/output/q1_unsorted.csv. Total rows written: 4274
joiner_q1                          | 2025-10-01T02:58:16.660493569Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4383
joiner_q1                          | 2025-10-01T02:58:16.660508810Z Wrote 67 rows to /app/output/q1_unsorted.csv. Total rows written: 4341
joiner_q1                          | 2025-10-01T02:58:16.931796392Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2736
joiner_q1                          | 2025-10-01T02:58:16.931818082Z Wrote 42 rows to /app/output/q1_unsorted.csv. Total rows written: 4383
joiner_q1                          | 2025-10-01T02:58:17.166816101Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2222
joiner_q1                          | 2025-10-01T02:58:17.167310788Z Wrote 34 rows to /app/output/q1_unsorted.csv. Total rows written: 4417
joiner_q1                          | 2025-10-01T02:58:17.284378026Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3740
joiner_q1                          | 2025-10-01T02:58:17.284683855Z Wrote 57 rows to /app/output/q1_unsorted.csv. Total rows written: 4474
joiner_q1                          | 2025-10-01T02:58:17.324062626Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3293
joiner_q1                          | 2025-10-01T02:58:17.324074693Z Wrote 50 rows to /app/output/q1_unsorted.csv. Total rows written: 4524
joiner_q1                          | 2025-10-01T02:58:17.471336777Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3925
joiner_q1                          | 2025-10-01T02:58:17.471352358Z Wrote 60 rows to /app/output/q1_unsorted.csv. Total rows written: 4584
joiner_q1                          | 2025-10-01T02:58:17.916418548Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3592
joiner_q1                          | 2025-10-01T02:58:17.917358764Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 4639
joiner_q1                          | 2025-10-01T02:58:17.966169802Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3393
joiner_q1                          | 2025-10-01T02:58:17.966180416Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 4691
joiner_q1                          | 2025-10-01T02:58:18.000645013Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3201
joiner_q1                          | 2025-10-01T02:58:18.002585014Z Wrote 49 rows to /app/output/q1_unsorted.csv. Total rows written: 4740
joiner_q1                          | 2025-10-01T02:58:18.073119948Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3069
joiner_q1                          | 2025-10-01T02:58:18.073131925Z Wrote 47 rows to /app/output/q1_unsorted.csv. Total rows written: 4787
joiner_q1                          | 2025-10-01T02:58:18.180751868Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2227
joiner_q1                          | 2025-10-01T02:58:18.181052000Z Wrote 34 rows to /app/output/q1_unsorted.csv. Total rows written: 4821
joiner_q1                          | 2025-10-01T02:58:18.240692749Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3530
joiner_q1                          | 2025-10-01T02:58:18.240703023Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 4875
joiner_q1                          | 2025-10-01T02:58:18.259697533Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4652
joiner_q1                          | 2025-10-01T02:58:18.259708468Z Wrote 71 rows to /app/output/q1_unsorted.csv. Total rows written: 4946
joiner_q1                          | 2025-10-01T02:58:18.382843951Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3592
joiner_q1                          | 2025-10-01T02:58:18.382855547Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 5001
joiner_q1                          | 2025-10-01T02:58:18.516907194Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3072
joiner_q1                          | 2025-10-01T02:58:18.516920402Z Wrote 47 rows to /app/output/q1_unsorted.csv. Total rows written: 5048
joiner_q1                          | 2025-10-01T02:58:18.605992009Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2797
joiner_q1                          | 2025-10-01T02:58:18.608453987Z Wrote 43 rows to /app/output/q1_unsorted.csv. Total rows written: 5091
